nombre,temperatura
Albania,10.374
Andorra,9.845
Austria,10.379999999999999
Belarus,9.331999999999999
Belgium,9.475
Bosnia and Herzegovina,9.475999999999999
Bulgaria,10.928
Croatia,9.679
Cyprus,9.123999999999999
Czechia,9.959999999999999
Denmark,8.914
Estonia,11.174
Faroe Islands,9.959
Finland,9.57
France,9.365
Germany,10.324
Gibraltar,10.131
Greece,8.906
Guernsey,8.725999999999999
Hungary,10.985
Iceland,11.203
Ireland,10.144
Isle of Man,12.288
Italy,10.751000000000001
Jersey,11.662
Kosovo,9.741
Latvia,9.013
Liechtenstein,8.805
Lithuania,10.091
Luxembourg,10.264
Malta,8.638
Moldova,9.411
Monaco,10.422
Montenegro,9.956
Netherlands,10.186
North Macedonia,11.055
Norway,9.431999999999999
Poland,9.894
Portugal,9.763
Romania,10.875
Russia,7.784999999999999
San Marino,10.302
Serbia,9.812999999999999
Slovakia,11.053
Slovenia,10.509
Spain,11.468
Svalbard and Jan Mayen,10.966
Sweden,10.073
Switzerland,8.974
Ukraine,10.185
United Kingdom,9.85
Vatican City,11.338
Åland Islands,8.784
